ANIMAL	YEAR	SEX	CAP_TRAP	RS	MS	SVL	BCI_RESID
13BTS124	2011	F	1	0	0	911	-0.09
13BTS009	2008	F	1	0	0	915	-0.103
13BTS050	2008	F	0	0	0	915	0.04
13BTS414	2015	F	0	0	0	920.25	-0.057
13BTS328	2015	F	0	0	0	920.333	0.011
13BTS296	2012	F	2	1	1	921.25	-0.062
13BTS155	2011	F	1	0	0	922	-0.079
13BTS359	2016	F	0	0	0	922.833	-0.13
13BTS197	2009	F	0	1	1	923.333	0.047
13BTS016	2008	F	3	0	0	923.75	-0.203
13BTS003	2009	F	1	0	0	924.6	-0.087
13BTS360	2015	F	0	0	0	927	-0.075
13BTS338	2015	F	5	0	0	927.333	-0.142
13BTS013	2008	F	0	0	0	929	-0.044
13BTS501	2017	F	1	0	0	929.182	-0.044
13BTS318	2012	F	0	0	0	929.667	-0.05
13BTS378	2016	F	0	0	0	930	-0.178
13BTS053	2008	F	0	0	0	930.5	0.159
13BTS098	2007	F	5	0	0	930.75	-0.05
13BTS017	2011	F	0	0	0	931	-0.114
13BTS056	2006	F	0	0	0	931.5	-0.203
13BTS562	2016	F	0	0	0	932.857	-0.105
13BTS107	2009	F	1	0	0	933.5	0.316
13BTS057	2010	F	1	0	0	934	0.063
13BTS128	2010	F	0	0	0	935	0.061
13BTS042	2008	F	2	0	0	937	0.089
13BTS556	2015	F	1	0	0	938	-0.019
13BTS035	2008	F	3	0	0	940.2	-0.024
13BTS048	2009	F	6	0	0	940.375	0.337
13BTS096	2009	F	11	2	1	940.455	0.318
13BTS075	2008	F	2	0	0	943.25	-0.089
13BTS093	2008	F	2	0	0	943.75	-0.035
13BTS549	2016	F	0	0	0	945	-0.078
13BTS035	2009	F	0	0	0	946.4	0.144
13BTS368	2015	F	0	0	0	946.5	-0.215
13BTS083	2007	F	0	0	0	947.5	0.03
13BTS122	2010	F	1	0	0	949	-0.006
13BTS038	2009	F	0	0	0	950.1	0.201
13BTS557	2015	F	0	0	0	950.167	-0.11
13BTS012	2008	F	3	0	0	950.5	-0.04
13BTS049	2008	F	5	0	0	951	-0.009
13BTS383	2016	F	0	0	0	951.875	-0.016
13BTS083	2008	F	0	0	0	952	0.257
13BTS395	2016	F	0	0	0	952.5	0.041
13BTS094	2008	F	2	0	0	952.667	0.044
13BTS042	2009	F	3	0	0	955.25	0.178
