ID	FATHER	MOTHER
F0001	NA	NA
F0003	NA	NA
F0004	NA	NA
F0005	NA	NA
F0008	NA	NA
F0009	NA	NA
F0010	NA	NA
F0011	NA	NA
F0013	NA	NA
F0014	NA	NA
F0015	NA	NA
F0016	NA	NA
F0019	NA	NA
F0021	NA	NA
F0022	NA	NA
F0025	NA	NA
F0026	NA	NA
F0027	NA	NA
F0032	NA	NA
F0033	NA	NA
F0034	NA	NA
F0036	NA	NA
F0038	NA	NA
F0041	NA	NA
F0042	NA	NA
F0044	NA	NA
F0045	NA	NA
F0046	NA	NA
M0002	NA	NA
M0003	NA	NA
M0004	NA	NA
M0005	NA	NA
M0006	NA	NA
M0007	NA	NA
M0008	NA	NA
M0010	NA	NA
M0011	NA	NA
M0012	NA	NA
M0013	NA	NA
M0014	NA	NA
M0015	NA	NA
M0016	NA	NA
M0017	NA	NA
M0018	NA	NA
M0020	NA	NA
M0021	NA	NA
M0022	NA	NA
M0023	NA	NA
M0024	NA	NA
M0025	NA	NA
M0026	NA	NA
13BTS026	NA	NA
13BTS079	NA	NA
13BTS082	NA	NA
13BTS005	NA	NA
13BTS009	NA	NA
13BTS014	NA	NA
13BTS019	NA	NA
13BTS020	NA	NA
13BTS056	NA	NA
13BTS058	NA	NA
13BTS066	NA	NA
13BTS067	NA	NA
13BTS092	NA	NA
13BTS095	NA	NA
13BTS072	NA	NA
13BTS078	NA	NA
13BTS087	NA	NA
13BTS098	NA	NA
13BTS125	NA	NA
13BTS131	NA	NA
13BTS010	NA	NA
13BTS023	NA	NA
13BTS035	NA	NA
13BTS075	NA	NA
13BTS083	NA	NA
13BTS093	NA	NA
13BTS094	NA	NA
13BTS036	NA	NA
13BTS038	NA	NA
13BTS039	NA	NA
13BTS086	NA	NA
13BTS091	NA	NA
13BTS110	NA	NA
13BTS118	NA	NA
13BTS119	NA	NA
13BTS122	NA	NA
13BTS305	NA	NA
13BTS137	NA	NA
13BTS169	NA	NA
13BTS129	NA	NA
13BTS130	NA	NA
13BTS132	NA	NA
13BTS136	NA	NA
13BTS152	NA	NA
13BTS163	NA	NA
13BTS271	NA	NA
13BTS276	NA	NA
13BTS289	NA	NA
13BTS293	NA	NA
13BTS339	NA	NA
13BTS166	NA	NA
13BTS290	NA	NA
13BTS294	NA	NA
13BTS320	NA	NA
13BTS349	NA	NA
13BTS525	NA	NA
13BTS549	NA	NA
13BTS378	NA	NA
13BTS444	NA	NA
13BTS559	NA	NA
13BTS500	NA	NA
13BTS503	NA	NA
13BTS518	NA	NA
13BTS543	NA	NA
13BTS548	NA	NA
13BTS588	NA	NA
13BTS602	NA	NA
13BTS625	NA	NA
F0002	M0015	NA
F0006	NA	F0027
F0018	M0016	NA
F0028	M0006	NA
F0029	M0014	NA
F0030	NA	F0046
F0031	M0011	NA
F0035	NA	13BTS098
F0037	M0021	NA
M0019	M0021	NA
13BTS099	M0013	F0025
13BTS081	M0026	F0010
13BTS103	M0024	F0010
13BTS112	M0026	F0010
13BTS012	M0004	F0009
13BTS016	M0011	F0021
13BTS024	M0004	F0009
13BTS034	M0025	F0046
13BTS053	M0015	F0027
13BTS060	M0014	F0026
13BTS062	M0011	F0021
13BTS065	M0011	NA
13BTS069	M0011	F0021
13BTS073	M0013	F0025
13BTS084	M0014	F0026
13BTS100	M0011	F0021
13BTS114	M0015	F0027
13BTS197	NA	F0046
